stateid,weekid,dose1,dose2
MH,27,1017462.0,801039.0
MH,28,1811093.0,1348164.0
MH,29,1571135.0,755234.0
MH,30,1644580.0,866488.0
ML,1,607.0,0.0
ML,2,2361.0,0.0
ML,3,2515.0,0.0
ML,4,7320.0,91.0
ML,5,16523.0,1592.0
ML,6,10786.0,1923.0
ML,7,7128.0,1902.0
ML,8,10312.0,5466.0
ML,9,10290.0,10536.0
ML,10,10160.0,10000.0
ML,11,7299.0,2185.0
ML,12,17841.0,5365.0
ML,13,22441.0,5708.0
ML,14,32140.0,7907.0
ML,15,79815.0,8679.0
ML,16,37901.0,7371.0
ML,17,51381.0,6154.0
ML,18,33455.0,92.0
ML,19,29111.0,168.0
ML,20,12953.0,141.0
ML,21,24645.0,226.0
ML,22,87909.0,383.0
ML,23,72202.0,1434.0
ML,24,62869.0,6993.0
ML,25,62582.0,14007.0
ML,26,64914.0,22242.0
ML,27,58666.0,44507.0
ML,28,52216.0,34162.0
ML,29,44129.0,27889.0
ML,30,36387.0,31054.0
MN,1,916.0,0.0
MN,2,1836.0,0.0
MN,3,4048.0,0.0
MN,4,13830.0,55.0
MN,5,16712.0,1299.0
MN,6,10789.0,899.0
MN,7,13567.0,2286.0
MN,8,7923.0,5503.0
MN,9,5794.0,9586.0
MN,10,5835.0,10125.0
MN,11,3425.0,4064.0
MN,12,5619.0,9618.0
MN,13,13302.0,6624.0
MN,14,22319.0,5755.0
MN,15,77829.0,5937.0
MN,16,61348.0,5193.0
MN,17,43660.0,2830.0
MN,18,36440.0,341.0
MN,19,36977.0,270.0
MN,20,40799.0,580.0
MN,21,44617.0,516.0
MN,22,26947.0,711.0
MN,23,37680.0,905.0
MN,24,113145.0,2642.0
MN,25,132645.0,8924.0
MN,26,146530.0,19403.0
MN,27,106194.0,53225.0
MN,28,79047.0,48176.0
MN,29,42589.0,33042.0
MN,30,23004.0,27890.0
MP,1,28993.0,0.0
MP,2,246354.0,0.0
MP,3,48050.0,0.0
MP,4,215440.0,3.0
MP,5,83365.0,3806.0
MP,6,13079.0,155853.0
MP,7,173094.0,72374.0
MP,8,244648.0,102524.0
MP,9,721547.0,121546.0
MP,10,762733.0,40898.0
MP,11,964061.0,37274.0
MP,12,1355695.0,65850.0
MP,13,1680423.0,158824.0
MP,14,395867.0,195346.0
MP,15,100502.0,151316.0
MP,16,158351.0,328523.0
MP,17,271204.0,258266.0
MP,18,554907.0,62412.0
MP,19,1070688.0,31114.0
MP,20,1698452.0,48389.0
MP,21,1159215.0,109117.0
MP,22,1008031.0,112871.0
MP,23,4480345.0,302148.0
MP,24,1337997.0,455718.0
MP,25,1345678.0,976357.0
MP,26,1040003.0,225132.0
MP,27,2118982.0,534334.0
MP,28,3543073.0,620699.0
MP,29,2381061.0,472778.0
MP,30,2453364.0,451853.0
MZ,1,1765.0,0.0
MZ,2,6107.0,0.0
MZ,3,1493.0,0.0
MZ,4,709.0,75.0
MZ,5,4505.0,2159.0
MZ,6,7238.0,3398.0
MZ,7,12105.0,3543.0
MZ,8,11726.0,939.0
MZ,9,6739.0,2017.0
MZ,10,3005.0,1460.0
MZ,11,1418.0,1156.0
MZ,12,17093.0,6977.0
MZ,13,48566.0,10105.0
MZ,14,48597.0,8657.0
MZ,15,43101.0,4472.0
MZ,16,17299.0,2215.0
MZ,17,7638.0,3935.0
MZ,18,13396.0,16.0
MZ,19,10097.0,104.0
MZ,20,10024.0,128.0
MZ,21,19548.0,1104.0
MZ,22,84164.0,335.0
MZ,23,121109.0,586.0
MZ,24,43352.0,6433.0
MZ,25,42814.0,28389.0
MZ,26,25979.0,39446.0
MZ,27,17275.0,44035.0
MZ,28,12487.0,25407.0
MZ,29,14266.0,8002.0
MZ,30,6795.0,12739.0
NL,1,1480.0,0.0
NL,2,1955.0,0.0
NL,3,563.0,0.0
NL,4,4949.0,0.0
NL,5,10760.0,3438.0
NL,6,7607.0,1562.0
NL,7,4492.0,549.0
NL,8,6971.0,3567.0
NL,9,7507.0,5901.0
NL,10,8497.0,5999.0
NL,11,5677.0,1689.0
NL,12,15361.0,3643.0
NL,13,33191.0,4381.0
NL,14,28707.0,4520.0
NL,15,22323.0,5243.0
NL,16,12673.0,6099.0
NL,17,9820.0,5388.0
NL,18,13442.0,78.0
NL,19,15068.0,75.0
NL,20,19283.0,119.0
NL,21,50681.0,299.0
NL,22,61452.0,700.0
NL,23,61613.0,1797.0
NL,24,52805.0,9622.0
NL,25,45765.0,23291.0
NL,26,42855.0,25080.0
NL,27,47226.0,22436.0
NL,28,23702.0,13892.0
NL,29,13878.0,7811.0
NL,30,9561.0,10963.0
OR,1,85672.0,0.0
OR,2,69237.0,0.0
OR,3,62072.0,0.0
OR,4,139802.0,3.0
OR,5,59049.0,70538.0
OR,6,21283.0,62750.0
OR,7,138775.0,31964.0
OR,8,221962.0,104007.0
OR,9,510834.0,53989.0
OR,10,430553.0,26073.0
OR,11,650768.0,45485.0
OR,12,1210986.0,88834.0
OR,13,656520.0,119490.0
OR,14,472718.0,190291.0
OR,15,204496.0,140252.0
OR,16,118250.0,200530.0
OR,17,199788.0,271268.0
OR,18,403837.0,35874.0
OR,19,578266.0,29373.0
OR,20,539813.0,34276.0
OR,21,569870.0,124846.0
OR,22,671263.0,176927.0
OR,23,1497362.0,215934.0
OR,24,479221.0,183594.0
OR,25,730829.0,510608.0
OR,26,463002.0,355093.0
OR,27,597236.0,536092.0
OR,28,796722.0,307479.0
